Average Number of Humans per Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Name,Part,Year,,Era,Average,Standard Deviation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Schit i mech 1968,4,1968,Brezhnev,1960s,2.985910051,2.730154371,12550,20129,24218,17864,10430,6287,5558,2722,1597,1081,816,612,484,421,485,402,215,116,62,35,11,6,3,,,,
Na puti v berlin,,1969,Brezhnev,1960s,2.889058571,2.689829264,14427,30695,30981,17033,11257,7303,5284,3412,2752,1879,1327,1171,807,543,320,255,88,54,32,20,11,3,,,,,
Pjaterka otvajnyh,,1970,Brezhnev,1970s,2.156563457,2.115441904,23154,39057,27651,16638,9831,5872,2876,1801,1146,900,682,581,407,184,81,27,9,2,,,,,,,,,
Zelenyje cepochki,,1970,Brezhnev,1970s,2.47120863,2.453749308,23319,40384,45115,25687,11412,6161,2971,2108,1990,1771,1543,1317,972,657,378,215,129,48,25,11,,,,,,,
Oficery,,1971,Brezhnev,1970s,2.983667049,2.757192753,10637,27243,42574,21755,10995,5345,3449,2755,2664,2260,1904,1565,928,630,376,461,411,77,12,3,,,,,,,
Proverka na dorogah,,1971,Brezhnev,1970s,2.756851325,2.660016626,13180,43496,26620,19236,11264,7183,4789,2986,2173,1950,1578,1313,838,621,350,222,138,67,27,7,1,,,,,,
A zori zdes tihie 1972,1,1972,Brezhnev,1970s,2.624733884,2.40319185,15425,34342,42583,17380,7765,5293,7084,3457,2112,1773,1642,932,576,306,149,75,14,4,3,1,,,,,,,
A zori zdes tihie 1972,2,1972,Brezhnev,1970s,1.524085378,1.36620882,27182,50663,27303,11205,7006,3471,1089,382,227,58,16,1,1,1,,,,,,,,,,,,,
Zemlja do vostrebovanija 1972,1,1972,Brezhnev,1970s,3.576117987,3.165949429,9897,17037,24271,16360,9501,5964,5466,4346,3074,2288,2007,1644,1258,891,653,434,213,94,31,6,,,,,,,
Zemlja do vostrebovanija 1972,2,1972,Brezhnev,1970s,2.486952557,2.245350333,9960,29468,35455,14898,7657,5356,3026,1555,1020,975,765,536,386,286,179,175,110,32,14,6,2,,,,,,
O teh kogo pomnju i ljublju,,1973,Brezhnev,1970s,3.667052794,3.382095575,7546,20809,31204,13778,8808,7846,4821,4082,3726,3054,2402,1485,1005,829,797,521,531,156,160,193,89,45,30,25,9,1,
Semnadcat mgnovenij vesny 1973,1,1973,Brezhnev,1970s,1.805278479,2.015798095,20122,37414,25804,8697,3484,1919,1441,1145,868,526,466,462,303,205,103,58,22,16,5,,,,,,,,
Semnadcat mgnovenij vesny 1973,3,1973,Brezhnev,1970s,2.014728698,2.203112573,13576,39647,24558,8262,3794,2338,1954,1320,1132,878,660,509,178,96,96,62,63,29,14,12,12,35,17,18,2,,
Semnadcat mgnovenij vesny 1973,6,1973,Brezhnev,1970s,1.624557196,1.508268199,8534,59470,27275,5849,2388,1445,881,767,701,284,256,307,184,44,6,6,3,,,,,,,,,,
Semnadcat mgnovenij vesny 1973,7,1973,Brezhnev,1970s,1.598720509,1.204850069,11912,43354,36615,9263,1967,949,558,559,277,49,51,27,17,16,12,21,14,6,,,,,,,,,
Semnadcat mgnovenij vesny 1973,8,1973,Brezhnev,1970s,1.390019523,1.205328056,15941,44825,28609,5749,995,472,330,222,188,143,116,103,78,39,19,2,,,,,,,,,,,
Semnadcat mgnovenij vesny 1973,11,1973,Brezhnev,1970s,1.758070986,1.394329474,9313,34929,40195,6349,2491,1355,962,694,372,207,115,70,55,33,40,28,16,6,1,,,,,,,,
Semnadcat mgnovenij vesny 1973,12,1973,Brezhnev,1970s,2.113564542,2.008733116,12021,32395,26417,15554,5602,2201,1543,785,593,533,438,365,337,288,163,96,23,7,1,,,,,,,,
V boj idut odni stariki,,1973,Brezhnev,1970s,2.281628978,2.121458677,20500,31433,38456,19097,7365,5279,3093,1882,1501,1380,1102,619,260,106,58,27,11,4,5,1,2,,,,,,
